gene_id,glucose_aerobic,glucose_anaerobic,ethanol,galactose,nitrogen_starvation,oxidative_stress,stationary_phase
YBR056W,141.01,36.26,282.95,141.01,141.01,141.01,141.01
YBR058C,11.77,11.77,11.77,2.91,11.77,11.77,11.77
YBR058C-A,60.72,60.72,60.72,60.72,60.72,60.72,60.72
YBR061C,4.95,1.05,4.95,4.95,4.95,4.95,4.95
YBR062C,14.76,14.76,14.76,14.76,14.76,14.76,14.76
YBR068C,4.83,4.83,4.83,4.83,4.83,4.83,4.83
YBR069C,12.08,12.08,9.11,12.08,12.08,12.08,12.08
YBR070C,70.84,70.84,70.84,70.84,70.84,70.84,70.84
YBR073W,1.51,1.51,1.51,1.51,1.51,1.51,1.51
YBR074W,38.54,193.17,38.54,38.54,38.54,38.54,38.54
YBR080C,28.69,28.69,28.69,29.97,28.69,28.69,43.27
YBR081C,8.24,8.24,8.24,8.24,8.24,15.92,8.24
YBR082C,1.61,2.30,2.30,2.32,2.30,2.30,2.30
YBR084W,22.38,22.38,22.38,22.38,31.77,22.38,17.02
YBR085W,9.08,10.23,9.08,13.30,9.08,9.08,9.08
YBR087W,28.47,28.47,28.47,28.47,28.47,28.47,28.47
YBR092C,20.75,20.75,20.75,20.75,20.75,20.75,20.75
YBR093C,222.00,222.00,222.00,890.90,222.00,222.00,222.00
YBR097W,14.03,14.03,9.13,14.03,41.20,14.03,14.03
YBR108W,4.33,4.33,4.33,4.33,9.01,4.33,4.33
YBR110W,26.28,26.28,6.55,26.28,26.28,26.28,26.28
YBR111C,5.21,27.94,27.94,27.94,27.94,27.94,27.94
YBR114W,18.91,154.28,154.28,154.28,154.28,154.28,154.28
YBR115C,65.54,70.29,70.29,70.29,70.29,70.29,70.29
YBR117C,34.31,34.31,34.31,34.31,34.31,34.31,34.31
YBR118W,180.36,180.36,1070.82,181.58,94.19,180.36,180.36
YBR119W,3.38,4.64,3.38,3.38,3.38,3.38,3.38
YBR121C,7.69,7.69,7.69,7.69,7.69,7.69,7.69
YBR125C,5.00,5.00,5.00,5.00,5.00,5.00,5.00
YBR126C,6.51,11.19,11.19,11.19,3.73,11.19,11.19
YBR127C,2.55,2.40,2.55,2.55,2.55,2.55,2.55
YBR128C,52.08,52.08,52.08,52.08,52.08,52.08,52.08
YBR131W,14.39,14.39,14.39,14.39,14.39,14.39,14.39
YBR132C,11.41,2.21,2.21,2.21,2.21,2.21,2.21
YBR136W,0.83,4.38,4.38,4.38,4.38,4.38,4.38
YBR140C,32.15,32.15,242.83,32.15,32.15,32.15,32.15
YBR142W,70.61,70.61,70.61,70.61,70.61,70.61,70.61
YBR145W,401.46,401.46,275.97,401.46,401.46,488.35,401.46
YBR147W,1588.89,1588.89,1588.89,1588.89,1588.89,1588.89,563.44
YBR149W,37.40,25.65,87.87,37.40,12.42,47.74,37.40
YBR153W,4.55,4.55,4.55,4.55,4.55,4.55,4.55
YBR159W,0.82,0.82,0.82,0.82,0.82,0.82,0.82
YBR161W,30.01,30.01,30.01,5.50,30.01,30.01,30.01
YBR164C,5.93,2.22,11.07,3.07,5.93,5.93,5.93
YBR166C,10.77,10.77,10.77,10.77,6.47,10.77,10.77
YBR176W,8.02,8.02,8.02,8.02,8.02,8.02,8.02
YBR177C,16.26,16.26,16.26,16.26,50.34,16.26,16.26
YBR180W,99.38,99.38,99.38,99.38,99.38,99.38,99.38
YBR183W,25.42,31.74,25.42,25.42,25.42,25.42,13.12
YBR189W,15.83,15.83,15.83,15.83,15.83,15.83,15.83
YBR192W,4.25,4.25,4.25,4.25,4.25,4.25,4.25
YBR196C,1.63,1.63,1.63,1.63,1.63,3.39,1.63
YBR199W,9.68,4.18,9.68,11.49,9.68,9.68,9.68
YBR202W,18.53,18.53,39.98,18.53,18.53,18.53,18.53
YBR204C,284.83,284.83,284.83,284.83,1608.93,284.83,284.83
YBR205W,24.42,24.42,24.42,12.30,24.42,24.42,47.71
YBR207W,87.72,87.72,87.72,87.72,87.72,87.21,87.72
YBR208C,9.50,9.50,9.50,9.50,9.50,9.50,9.73
YBR213W,3.40,3.40,3.40,3.40,3.40,3.40,3.40
YBR218C,4.72,4.72,4.72,5.92,4.72,4.72,4.72
YBR219C,31.49,4.21,6.77,6.77,6.77,6.77,6.77
YBR221C,489.17,489.17,1764.28,489.17,489.17,453.28,489.17
YBR222C,5.86,5.86,5.92,5.86,5.86,5.86,5.86
YBR229C,70.65,43.51,70.65,70.65,70.65,70.65,70.65
YBR235W,5.18,5.18,5.18,5.18,5.18,5.18,5.18
YBR236C,81.24,81.24,81.24,81.24,81.24,81.24,81.24
YBR237W,35.78,35.78,35.78,35.78,35.78,23.81,35.78
YBR241C,15.88,15.88,15.88,15.88,15.88,40.03,8.41
YBR242W,18.89,18.89,18.89,18.89,18.10,18.89,18.89
YBR243C,7.52,7.52,7.52,4.70,7.52,7.52,7.52
YBR244W,19.44,16.64,39.22,39.22,39.22,39.22,39.22
YBR245C,10.15,10.15,10.15,10.15,10.15,10.15,10.15
YBR248C,1.58,3.20,3.20,3.20,3.20,3.30,3.20
YBR249C,2.95,2.95,2.95,2.95,2.95,2.95,2.95
YBR252W,26.02,26.02,26.02,26.02,26.02,26.02,26.02
YBR256C,214.57,214.57,214.57,214.57,214.57,80.08,186.21
YBR260C,25.53,25.53,25.53,25.53,25.53,25.53,18.26
YBR263W,16.81,16.81,16.81,16.81,16.81,16.81,16.81
YBR265W,30.84,30.84,30.84,30.84,30.84,11.43,30.84
YBR273C,142.45,142.45,548.03,142.45,142.45,131.16,142.45
YBR275C,99.03,27.91,27.91,27.91,27.91,27.91,27.91
YBR276C,10.84,17.29,10.84,10.84,10.84,10.84,10.84
YBR280C,105.58,105.58,105.58,105.58,105.58,105.58,162.10
YBR281C,38.21,38.21,38.21,38.21,38.21,38.21,38.21
YBR286W,201.07,201.07,201.07,201.07,201.07,201.07,516.96
YBR289W,26.44,26.44,26.44,26.44,2.50,38.90,26.44
YBR290W,3.20,2.93,4.75,3.20,4.42,3.20,3.20
YBR291C,1.78,2.58,2.58,6.92,2.58,2.58,1.97
YBR293W,238.98,238.98,238.98,238.98,238.98,238.98,238.98
YBR294W,266.53,266.53,266.53,266.53,266.53,266.53,266.53
YBR295W,15.34,9.38,15.34,2.98,15.34,15.34,15.34
YBR296C,3.04,11.30,11.30,11.30,11.30,34.98,11.30
YBR297W,179.86,179.86,179.86,179.86,179.86,179.86,179.86
YBR298C,3.82,2.79,3.82,3.82,3.82,3.82,3.82
YBR299W,5.25,5.25,5.25,5.25,5.25,5.25,5.25
YBR302C,176.34,52.72,108.13,52.72,162.08,28.91,52.72
YCL001W,11.11,11.11,11.11,11.11,11.11,11.11,8.80
YCL004W,19.93,19.93,19.93,19.93,19.93,19.93,19.93
YCL005W-A,15.72,15.72,15.72,22.14,15.72,15.72,15.72
YCL009C,33.33,33.33,33.33,33.33,11.74,33.33,33.33
YCL014W,165.87,165.87,1861.30,165.87,165.87,165.87,220.92
YCL016C,23.01,23.01,23.01,23.01,23.01,23.01,23.01
YCL017C,52.77,52.77,52.77,52.77,52.77,52.77,52.77
YCL018W,0.61,0.93,0.93,0.93,0.93,0.93,0.93
YCL019W,32.07,18.67,18.67,18.67,18.67,18.67,18.67
YCL025C,5.67,5.67,11.06,5.67,2.23,5.67,5.67
YCL030C,3.23,3.23,3.23,3.23,3.23,3.23,3.23
YCL034W,5.38,1.32,5.38,5.38,5.38,5.38,5.38
YCL035C,12.17,15.95,12.17,18.73,12.17,12.17,12.17
YCL038C,79.35,79.35,79.35,79.35,79.35,79.35,79.35
YCL040W,2.75,2.75,2.75,2.75,2.15,1.35,2.75
YCL047C,21.03,21.03,21.03,21.03,21.03,34.99,21.03
YCL050C,9.72,9.72,9.72,9.72,9.72,9.72,9.72
YCL051W,12.29,12.29,12.29,12.29,12.29,12.29,12.29
YCL052C,90.39,90.39,90.39,90.39,90.39,90.39,90.39
YCL058C,45.02,84.29,45.02,45.02,45.02,45.02,140.19
YCL059C,149.32,149.32,149.32,149.32,149.32,149.32,35.05
YCL064C,15.93,15.93,15.93,15.93,15.93,15.93,15.93
YCL069W,7.07,7.07,7.07,7.07,7.07,7.07,34.01
YCR004C,14.36,14.36,14.36,14.36,14.36,14.36,14.36
YCR005C,63.51,28.90,13.23,28.90,28.90,28.90,49.93
YCR010C,37.48,26.18,26.18,26.18,26.18,26.18,26.18
YCR011C,3.95,3.95,3.95,3.95,3.95,3.95,2.85
YCR012W,23.01,23.01,23.01,23.01,23.01,23.01,23.01
YCR020C,15.45,15.40,28.29,28.29,28.29,28.29,28.29
YCR024C,876.74,876.74,876.74,139.73,876.74,876.74,876.74
YCR024C-A,335.38,335.38,335.38,335.38,314.01,335.38,335.38
YCR027C,5.59,5.59,5.59,10.17,5.59,5.59,5.59
YCR028C,13.05,13.05,13.05,13.05,13.05,13.05,13.05
YCR033W,28.13,2.24,2.24,1.23,2.24,2.24,2.24
YCR034W,8.28,8.28,8.28,8.28,5.41,8.28,41.60
YCR036W,173.43,32.25,32.25,32.25,32.25,32.25,32.25
YCR037C,122.58,122.58,122.58,122.58,122.58,122.58,122.58
YCR038C,6.73,6.73,6.73,6.73,9.10,6.73,6.73
YCR048W,10.78,7.53,7.53,7.53,7.53,7.53,7.53
YCR053W,0.80,0.80,0.80,1.19,0.80,1.81,0.80
YCR057C,15.74,15.74,15.74,41.46,15.74,15.74,15.74
YCR061W,4.08,4.08,4.08,4.08,4.08,4.08,4.08
YCR066W,9.08,9.08,16.38,9.08,9.08,9.08,9.08
YCR067C,5.39,5.39,5.39,5.39,5.39,5.39,5.39
YCR068W,17.44,2.56,17.44,17.44,17.44,17.44,17.44
YCR072C,1.44,1.44,1.44,1.44,0.72,1.15,1.44
YCR073W-A,2.22,0.57,2.22,2.22,2.22,2.22,2.22
YCR075C,489.74,489.74,489.74,489.74,489.74,489.74,489.74
YCR079W,2.91,2.91,2.91,2.91,2.91,2.91,2.91
YCR083W,25.74,3.88,3.88,3.88,3.88,3.88,3.88
YCR084C,315.88,315.88,315.88,315.88,315.88,315.88,315.88
YCR089W,1568.07,1568.07,1568.07,1568.07,1568.07,1587.57,1568.07
YCR098C,3.46,16.92,1.24,3.46,3.81,3.46,3.46
YCR105W,11.56,11.56,11.56,11.56,11.56,11.56,11.56
YCR106W,33.53,17.84,5.26,33.53,33.53,33.53,30.97
YCR107W,416.78,268.55,268.55,268.55,40.58,268.55,268.55
YDL004W,4.57,4.57,4.57,4.57,4.57,4.57,4.57
YDL006W,13.90,13.90,13.90,4.71,13.90,13.90,13.90
YDL013W,64.46,26.84,64.46,64.46,64.46,42.71,64.46
YDL015C,38.56,38.56,38.56,38.56,38.56,38.56,35.01
YDL021W,11.42,11.42,11.42,11.42,11.42,11.42,11.42
YDL022W,16.43,16.43,16.43,16.43,16.43,16.43,15.48
YDL024C,2.55,2.55,2.67,2.55,2.55,1.73,2.55
YDL031W,14.05,14.05,14.05,14.05,14.05,5.46,14.05
YDL033C,13.47,13.47,34.31,4.82,13.47,13.47,13.47
YDL037C,28.45,28.45,28.45,28.45,29.35,28.45,28.45
YDL040C,8.73,8.73,8.73,8.73,8.73,8.73,2.34
YDL042C,45.35,40.74,40.74,40.74,40.74,40.74,10.62
YDL044C,91.75,91.75,91.75,91.75,109.28,91.75,21.49
YDL045C,25.36,25.36,25.36,25.36,25.36,25.36,25.36
YDL047W,34.04,34.04,34.04,34.04,34.04,34.04,34.04
YDL052C,21.75,21.75,21.75,21.75,21.75,21.75,21.75
YDL055C,20.09,20.09,20.09,20.09,20.09,20.09,20.09
YDL066W,6.81,6.81,6.81,6.81,16.21,6.81,6.81
YDL067C,5.88,32.29,32.29,32.29,32.29,32.29,32.29
YDL073W,17.36,17.36,17.36,17.36,17.36,17.36,17.36
YDL074C,463.94,463.94,463.94,463.94,463.94,463.94,391.00
YDL078C,421.61,212.73,212.73,212.73,53.62,212.73,104.74
YDL080C,35.83,35.83,35.83,4.14,35.83,35.83,35.83
YDL084W,6.39,6.39,6.39,6.39,6.39,6.39,6.39
YDL085W,3.79,3.79,3.79,3.79,3.79,3.79,3.79
YDL089W,119.91,119.91,119.91,119.91,119.91,119.91,119.91
YDL090C,29.79,29.79,29.79,29.79,29.79,29.79,29.79
YDL093W,41.27,41.27,41.27,41.27,41.27,41.27,30.52
YDL095W,1.47,1.47,1.47,1.47,1.47,1.47,1.47
YDL100C,80.73,56.71,80.73,80.73,80.73,80.73,80.73
YDL102W,39.71,39.71,39.71,39.71,39.71,39.71,39.71
YDL103C,3.80,3.80,3.80,3.80,3.80,2.36,3.80
YDL104C,9.90,9.90,9.90,9.90,9.90,9.90,9.90
YDL109C,118.31,29.83,42.26,29.83,29.83,29.83,29.83
YDL110C,21.73,21.73,21.73,21.73,21.73,34.75,21.73
YDL114W,12.96,12.96,22.75,12.96,12.96,6.49,5.43
YDL120W,17.20,17.20,17.20,17.20,17.20,12.34,17.20
YDL122W,13.76,13.76,57.49,13.76,31.48,13.76,6.18
YDL125C,25.25,25.25,13.48,25.25,25.25,25.25,25.25
YDL126C,182.59,182.59,182.59,151.18,182.59,182.59,182.59
YDL131W,0.43,0.43,0.43,0.43,0.43,0.43,0.43
YDL134C,14.08,100.57,14.08,13.36,14.08,14.08,14.08
YDL137W,26.17,6.10,26.17,26.17,44.16,26.17,26.17
YDL140C,31.31,31.31,31.31,31.31,31.31,31.31,31.31
YDL141W,11.50,11.50,11.50,11.50,1.37,11.50,11.50
YDL142C,1.44,1.44,1.44,1.44,1.44,0.59,1.44
YDL144C,32.85,32.85,32.85,22.50,32.85,32.85,32.85
YDL149W,268.01,268.01,268.01,268.01,268.01,268.01,3093.33
YDL154W,2.01,2.01,2.01,1.67,2.01,2.01,2.01
YDL160C,73.39,73.39,73.39,73.39,73.39,73.39,73.39
YDL166C,12.27,12.27,12.27,12.27,12.27,12.27,12.27
YDL168W,18.32,18.32,18.32,6.72,18.32,18.32,18.32
YDL171C,4.14,4.14,5.57,4.14,4.14,4.14,4.14
YDL174C,21.53,12.16,12.16,12.16,3.15,12.16,12.16
YDL178W,141.18,141.18,141.18,141.18,141.18,141.18,141.18
YDL179W,48.13,48.13,48.13,48.13,48.13,48.13,48.13
YDL180W,180.42,270.01,19.56,103.13,270.01,270.01,746.57
YDL182W,117.46,256.12,117.46,117.46,117.46,117.46,117.46
YDL185W,38.81,38.81,38.81,16.61,38.81,38.81,38.81
YDL188C,274.76,274.76,274.76,274.76,274.76,274.76,274.76
YDL192W,38.80,38.80,152.31,81.85,8.96,38.80,38.80
YDL193W,28.75,75.74,69.55,69.55,69.55,685.01,69.55
YDL195W,12.87,9.48,12.87,12.87,12.87,12.87,35.92
YDL198C,27.55,22.19,22.19,22.19,22.19,22.19,22.19
YDL200C,7.06,7.06,7.06,7.06,7.06,7.06,7.06
YDL201W,81.17,88.62,88.62,88.62,88.62,43.05,88.62
YDL205C,3.43,35.29,3.43,3.43,3.43,3.43,3.43
YDL210W,64.94,64.94,64.94,64.94,64.94,64.94,64.94
YDL212W,15.09,15.09,15.09,15.09,11.44,15.09,35.15
YDL215C,116.38,116.38,116.38,116.38,140.33,116.38,116.38
YDL216C,61.95,61.95,61.95,60.20,190.35,61.95,61.95
YDL219W,308.27,308.27,308.27,308.27,308.27,308.27,176.02
YDL229W,371.75,60.11,60.11,60.11,60.11,60.11,60.11
YDL230W,1.90,1.90,1.90,0.21,1.90,1.90,1.90
YDL236W,18.17,18.17,18.17,18.17,3.91,18.17,18.17
YDL238C,3.46,3.46,3.46,3.46,3.46,12.54,11.65
YDL240W,9.23,9.23,9.23,9.23,21.52,9.23,9.23
YDL243C,193.80,193.80,193.80,193.80,193.80,193.80,193.80
YDL245C,52.26,36.09,52.26,52.26,52.26,52.26,52.26
YDL246C,7.04,5.90,7.04,5.39,7.04,9.73,7.04
YDL247W,4.39,4.39,4.39,4.39,4.39,4.39,4.39
YDR001C,21.10,21.10,21.10,21.10,21.10,21.10,21.10
YDR004W,3.24,3.24,3.24,3.24,3.24,1.81,3.24
YDR006C,7.34,7.34,7.34,7.34,7.34,7.34,7.34
YDR007W,32.07,32.07,32.07,32.07,32.07,14.87,32.07
YDR009W,113.63,113.63,113.63,113.63,113.63,113.63,113.63
YDR012W,50.06,50.06,50.06,95.00,50.06,50.06,50.06
YDR017C,0.65,0.65,0.65,0.65,0.65,0.65,0.65
YDR018C,31.71,31.71,34.37,31.71,31.71,37.45,31.71
YDR019C,22.38,22.38,22.38,10.57,22.38,22.38,22.38
YDR020C,37.37,37.37,37.37,21.01,37.37,37.37,37.37
YDR021W,226.86,226.86,226.86,226.86,226.86,226.86,226.86
YDR023W,1.12,0.91,0.36,0.91,0.91,0.91,0.91
YDR032C,5.35,13.37,8.28,8.28,8.28,8.28,8.28
YDR034C-D,48.73,48.73,48.73,48.73,48.73,48.73,48.73
YDR035W,1.60,1.87,1.87,1.87,1.87,1.87,1.87
YDR036C,183.81,50.01,183.81,125.65,183.81,183.81,183.81
YDR037W,34.90,34.90,34.90,34.90,34.90,34.90,34.90
YDR038C,71.51,71.51,71.51,33.71,71.51,71.51,71.51
YDR039C,8.53,8.53,8.53,8.09,16.90,8.53,12.60
YDR040C,68.08,68.08,68.08,68.08,68.08,68.08,68.08
YDR044W,99.75,99.75,99.75,99.75,108.77,95.51,99.75
YDR046C,28.48,28.48,28.48,230.67,28.48,21.02,28.48
YDR047W,28.55,28.55,28.55,28.55,28.55,28.55,28.55
YDR050C,30.13,30.13,30.13,30.13,30.13,30.13,30.13
YDR051C,5.50,5.50,5.50,5.50,5.50,5.50,5.50
YDR054C,16.10,16.10,16.10,16.10,16.10,16.10,16.10
YDR058C,15.98,15.98,10.23,15.98,15.98,15.98,7.13
YDR059C,35.70,35.70,35.70,35.70,35.70,35.70,35.70
YDR062W,389.92,89.99,89.99,89.99,89.99,89.99,89.99
YDR063W,4.10,4.10,4.10,4.10,4.10,5.25,4.10
YDR069C,18.42,16.65,16.65,16.65,16.65,113.37,16.65
YDR071C,185.34,185.34,185.34,185.34,185.34,185.34,185.34
YDR072C,6.58,6.58,8.33,6.58,6.58,6.58,6.58
YDR073W,5.85,1.78,5.85,5.85,3.01,5.85,5.85
YDR074W,27.21,27.21,27.21,27.21,27.21,27.21,27.21
YDR075W,71.28,71.28,71.28,36.17,71.28,71.28,71.28
YDR076W,20.43,20.43,20.43,20.43,20.43,20.43,20.43
YDR082W,147.44,147.44,147.44,147.44,986.32,147.44,147.44
YDR086C,72.62,72.62,72.62,72.62,72.62,72.62,72.62
YDR087C,71.00,71.00,71.00,71.00,71.00,71.00,154.48
YDR092W,46.12,216.24,46.12,46.12,46.12,46.12,46.12
YDR093W,659.50,659.50,659.50,659.50,659.50,71.24,659.50
YDR096W,14.76,14.76,14.76,14.76,14.76,14.76,14.76
YDR098C,0.99,0.76,0.99,0.99,1.74,0.99,0.99
YDR098C-B,222.82,222.82,222.82,222.82,222.82,222.82,222.82
YDR104C,10.11,10.11,10.11,10.11,10.11,10.11,10.11
YDR105C,23.61,23.61,23.61,23.61,23.61,23.61,23.61
YDR109C,143.21,143.21,143.21,143.21,143.21,143.21,143.21
YDR110W,4.14,1.82,1.82,1.82,1.82,1.82,1.82
YDR111C,3.07,5.18,3.07,3.07,5.65,3.07,3.07
YDR120C,1.82,1.82,1.82,2.92,1.40,1.82,9.40
YDR126W,6.10,6.10,6.10,6.10,1.71,6.10,6.10
YDR127W,38.84,38.84,38.84,38.84,38.84,38.84,23.92
YDR135C,44.09,44.09,44.09,44.09,44.09,44.09,44.09
YDR138W,30.40,30.40,6.94,22.19,30.40,30.40,14.01
YDR140W,2.41,2.41,2.41,2.41,2.41,2.41,2.41
YDR143C,0.63,0.63,0.63,0.63,0.63,0.63,0.63
YDR147W,21.79,21.79,21.79,21.79,21.79,21.79,63.18
YDR148C,9.90,9.90,9.90,59.02,9.90,9.90,9.90
YDR158W,40.01,40.01,40.01,40.01,40.01,40.01,40.01
YDR172W,57.57,192.71,57.57,57.57,57.57,57.57,57.57
YDR173C,24.71,24.71,24.71,24.71,24.71,24.71,24.71
YDR177W,278.75,62.82,62.82,62.82,127.80,62.82,62.82
YDR178W,28.33,37.75,28.33,35.15,28.33,28.33,28.33
YDR180W,44.48,17.82,44.48,44.48,44.48,44.48,44.48
YDR190C,6.98,6.98,12.68,6.98,6.98,6.98,6.98
YDR191W,9.86,16.72,15.34,3.82,1.84,15.34,15.34
YDR194C,26.98,26.98,26.98,26.98,26.98,26.98,26.98
YDR196C,68.77,202.80,68.77,68.77,68.77,68.77,68.77
YDR198C,11.13,11.13,11.13,11.13,19.84,11.13,11.13
YDR204W,43.89,43.89,43.89,43.89,39.92,43.89,43.89
YDR208W,13.48,13.48,13.48,13.48,13.48,13.48,13.48
YDR210C-D,16.84,16.84,16.84,10.37,16.84,16.84,16.84
