model_reaction_id,reaction_name,formula_balanced,charge_balanced,issue_categories,remediation_action,missing_formula_metabolites,unparsable_formula_metabolites,element_imbalance,charge_imbalance
r_0034,"3',5'-cyclic-nucleotide phosphodiesterase",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0035,"3',5'-cyclic-nucleotide phosphodiesterase",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0036,"3',5'-cyclic-nucleotide phosphodiesterase",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0037,"3',5'-cyclic-nucleotide phosphodiesterase",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0038,"3,4-dihydroxy-2-butanone-4-phosphate synthase",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0039,3-dehydroquinate dehydratase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0040,3-dehydroquinate synthase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0041,3-dehydrosphinganine reductase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0042,3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0043,"3-hexaprenyl-4,5-dihydroxybenzoate hydroxylase",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0044,3-hexaprenyl-4-hydroxy-5-methoxybenzoate decarboxylase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0045,3-hydroxy-L-kynurenine hydrolase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0057,3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA),True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0058,"3-hydroxyanthranilate 3,4-dioxygenase",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0059,3-isopropylmalate 3-methyltransferase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0060,3-isopropylmalate dehydratase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0061,3-isopropylmalate dehydrogenase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0062,3-methyl-2-oxobutanoate decarboxylase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0063,3-methyl-2-oxobutanoate hydroxymethyltransferase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0064,3-methyl-2-oxopentanoate decarboxylase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0065,3-phosphoshikimate 1-carboxyvinyltransferase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0066,4-amino-4-deoxychorismate synthase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0067,4-aminobenzoate synthase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0068,4-aminobutyrate transaminase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0069,4-hydroxy-L-threonine synthase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0070,4-hydroxybenzoate formation,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0072,4-methyl-2-oxopentanoate decarboxylase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0073,4PP-IP5 depyrophosphorylation to IP6,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0074,"4PP-IP5 pyrophosphorylation to 4,5-PP2-IP4",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0075,5'-methylthioadenosine phosphorylase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0076,5'-nucleotidase (CMP),True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0077,5'-nucleotidase (IMP),True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0078,5'-nucleotidase (UMP),True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0079,5'-phosphoribosylformyl glycinamidine synthetase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0080,"5,10-methylenetetrahydrofolate reductase (NADPH)",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0081,5-aminolevulinate synthase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0082,"5-diphosphoinositol-1,2,3,4,6-pentakisphosphate diphosphohydrolase",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0083,"5-diphosphoinositol-1,2,3,4,6-pentakisphosphate synthase",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0084,5-formethyltetrahydrofolate cyclo-ligase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0085,5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0086,5-methylthio-5-deoxy-D-ribulose 1-phosphate dehydratase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0087,5-methylthioribose-1-phosphate isomerase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0088,"5PP-IP5 pyrophosphorylation to 4,5-PP2-IP4",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0089,"5PP-IP5 pyrophosphorylation to 5,6-PP2-IP4",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0090,6-phosphofructo-2-kinase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0091,6-phosphogluconolactonase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0092,6PP-IP5 depyrophosphorylation to IP6,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0093,"6PP-IP5 pyrophosphorylation to 5,6-PP2-IP4",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0094,8-amino-7-oxononanoate synthase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0095,acetaldehyde condensation,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0096,acetohydroxy acid isomeroreductase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0097,acetolactate synthase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0099,acetyl-CoA ACP transacylase,False,True,generic_r_group_or_polymer_formula|missing_formula_no_local_mapping,requires_external_structure_mapping,s_1845,s_0372,"{""C"": -2.0, ""H"": -2.0, ""O"": -1.0}",0.0
r_0100,acetyl-CoA C-acyltransferase (palmitoyl-CoA),True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0101,acetyl-CoA C-acyltransferase (tetracosanoyl-CoA),True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0102,acetyl-CoA C-acyltransferase (myristoyl-CoA),True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0103,acetyl-CoA C-acetyltransferase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0104,acetyl-CoA C-acetyltransferase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0105,acetyl-CoA C-acyltransferase (lauroyl-CoA),True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0106,acetyl-CoA C-acyltransferase (octanoyl-CoA),True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0107,acetyl-CoA C-acyltransferase (decanoyl-CoA),True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0108,acetyl-Coa carboxylase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0109,"acetyl-CoA carboxylase, reaction",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0111,acetyl-CoA hydrolase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0112,acetyl-CoA synthetase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0113,acetyl-CoA synthetase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0114,acetyl-CoA synthetase nuclear,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0115,acetylglutamate kinase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0116,acid phosphatase (secreted),True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0117,aconitase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0118,acteylornithine transaminase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0119,acyl carrier protein synthase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0120,acyl-CoA oxidase (decanoyl-CoA),True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0121,acyl-CoA oxidase (dodecanoyl-CoA),True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0122,acyl-CoA oxidase (hexacosanoyl-CoA),True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0123,acyl-CoA oxidase (hexadecanoyl-CoA),True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0124,acyl-CoA oxidase (octadecanoyl-CoA),True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0125,acyl-CoA oxidase (tetradecanoyl-CoA),True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0126,"acyl-CoA:sterol acyltransferase (oleoyl-CoA:episterol), ER membrane",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0127,"acyl-CoA:sterol acyltransferase (oleoyl-CoA:ergosterol), ER membrane",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0128,"acyl-CoA:sterol acyltransferase (oleoyl-CoA:fecosterol), ER membrane",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0129,"acyl-CoA:sterol acyltransferase (oleoyl-CoA:lanosterol), ER membrane",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0130,"acyl-CoA:sterol acyltransferase (oleoyl-CoA:zymosterol), ER membrane",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0131,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:episterol), ER membrane",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0132,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:ergosterol), ER membrane",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0133,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:fecosterol), ER membrane",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0134,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:lanosterol), ER membrane",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0135,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:zymosterol), ER membrane",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0137,"acylation of GPI inositol at 2 position, GPI-anchor assembly, step 3",False,True,generic_r_group_or_polymer_formula|missing_formula_no_local_mapping,requires_external_structure_mapping,s_0330,s_0329,"{""C"": -16.0, ""H"": -30.0, ""O"": -1.0}",0.0
r_0138,adenine deaminase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0139,adenine phosphoribosyltransferase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0140,adenosine deaminase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0142,adenosine kinase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0143,adenosine monophosphate deaminase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0144,adenosylhomocysteinase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0145,adenosylmethionine decarboxylase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0146,adenosylmethionine-8-amino-7-oxononanoate transaminase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0147,adenylate cyclase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0148,adenylate kinase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0149,adenylate kinase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0150,adenylate kinase (GTP),True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0151,adenylosuccinate lyase (AICAR),True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0152,adenylosuccinate lyase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0153,adenylosuccinate synthase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0154,adenylyl-sulfate kinase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0155,"ADP-ribose 2,3-cyclic phosphodiesterase",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0156,alanine glyoxylate aminotransferase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0157,alanyl-tRNA synthetase,False,True,generic_r_group_or_polymer_formula,exclude_from_structure_sensitive_training_or_apply_curated_carrier_rules,,s_0404|s_1582,"{""C"": -3.0, ""H"": -6.0, ""N"": -1.0, ""O"": -1.0}",0.0
r_0158,alcohol acetyltransferase (2-methylbutanol),True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0159,alcohol acetyltransferase (ethanol),True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0160,alcohol acetyltransferase (isoamyl alcohol),True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0161,alcohol acetyltransferase (isobutyl alcohol),True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0162,alcohol acetyltransferase (phenylethanol alcohol),True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0163,alcohol dehydrogenase (ethanol to acetaldehyde),True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0164,"alcohol dehydrogenase (glycerol, NADP)",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0165,mitochondrial alcohol dehydrogenase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0166,"aldehyde dehydrogenase (2-methylbutanol, NAD)",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0167,"aldehyde dehydrogenase (2-methylbutanol, NAD)",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0168,"aldehyde dehydrogenase (2-methylbutanol, NADP)",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0169,"aldehyde dehydrogenase (2-phenylethanol, NAD)",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0170,"aldehyde dehydrogenase (2-phenylethanol, NAD)",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0171,"aldehyde dehydrogenase (2-phenylethanol, NADP)",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0172,"aldehyde dehydrogenase (3-aminopropanal, NAD)",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0173,"aldehyde dehydrogenase (acetaldehyde, NADP)",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0174,"aldehyde dehydrogenase (acetylaldehyde, NAD)",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0175,"aldehyde dehydrogenase (acetylaldehyde, NADP)",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0176,"aldehyde dehydrogenase (indole-3-acetaldehyde, NAD)",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0177,"aldehyde dehydrogenase (indole-3-acetaldehyde, NADP)",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0178,"aldehyde dehydrogenase (indole-3-acetaldehyde, NADP)",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0179,"aldehyde dehydrogenase (isoamyl alcohol, NAD)",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0180,"aldehyde dehydrogenase (isoamyl alcohol, NAD)",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0181,"aldehyde dehydrogenase (isoamyl alcohol, NADP)",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0182,"aldehyde dehydrogenase (isobutyl alcohol, NAD)",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0183,"aldehyde dehydrogenase (isobutyl alcohol, NAD)",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0184,"aldehyde dehydrogenase (isobutyl alcohol, NADP)",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0185,"aldehyde dehydrogenase (phenylacetaldehyde, NAD)",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0186,"aldehyde dehydrogenase (tryptophol, NAD)",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0187,"aldehyde dehydrogenase (tryptophol, NAD)",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0188,alkaline phosphatase (dihydroneopterin),True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0189,allantoate amidinohydrolase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0190,"allantoinase, reaction",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0191,allophanate hydrolase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0192,"alpha 1,2-mannosyltransferase",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0193,"alpha,alpha-trehalase",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0194,"alpha,alpha-trehalase",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0195,"alpha,alpha-trehalose-phosphate synthase (UDP-forming)",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0198,alpha-glucosidase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0199,amidase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0200,Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing),True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0201,Aminobutyraldehyde dehydrogenase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0202,anthranilate phosphoribosyltransferase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0203,anthranilate synthase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0204,Ap4A hydrolase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0205,arabinose reductase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0206,arginase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0207,argininosuccinate lyase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0208,argininosuccinate synthase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0209,arginyl-tRNA synthetase,False,True,generic_r_group_or_polymer_formula,exclude_from_structure_sensitive_training_or_apply_curated_carrier_rules,,s_0428|s_1583,"{""C"": -6.0, ""H"": -14.0, ""N"": -4.0, ""O"": -1.0}",0.0
r_0210,arginyl-tRNA synthetase,False,True,generic_r_group_or_polymer_formula,exclude_from_structure_sensitive_training_or_apply_curated_carrier_rules,,s_0429|s_1584,"{""C"": -6.0, ""H"": -14.0, ""N"": -4.0, ""O"": -1.0}",0.0
r_0211,asparagine synthase (glutamine-hydrolysing),True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0212,Asparaginyl-tRNA synthetase,False,True,generic_r_group_or_polymer_formula,exclude_from_structure_sensitive_training_or_apply_curated_carrier_rules,,s_0430|s_1585,"{""C"": -4.0, ""H"": -7.0, ""N"": -2.0, ""O"": -2.0}",0.0
r_0213,"asparaginyl-tRNA synthetase, miotchondrial",False,True,generic_r_group_or_polymer_formula,exclude_from_structure_sensitive_training_or_apply_curated_carrier_rules,,s_0431|s_1586,"{""C"": -4.0, ""H"": -7.0, ""N"": -2.0, ""O"": -2.0}",0.0
r_0214,aspartate carbamoyltransferase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0215,aspartate kinase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0216,aspartate transaminase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0217,aspartate transaminase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0218,aspartate transaminase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0219,aspartate-semialdehyde dehydrogenase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0220,Aspartyl-tRNA synthetase,False,True,generic_r_group_or_polymer_formula,exclude_from_structure_sensitive_training_or_apply_curated_carrier_rules,,s_0432|s_1587,"{""C"": -4.0, ""H"": -5.0, ""N"": -1.0, ""O"": -3.0}",0.0
r_0221,Aspartyl-tRNA synthetase,False,True,generic_r_group_or_polymer_formula,exclude_from_structure_sensitive_training_or_apply_curated_carrier_rules,,s_0433|s_1588,"{""C"": -4.0, ""H"": -5.0, ""N"": -1.0, ""O"": -3.0}",0.0
r_0222,ATP adenylyltransferase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0223,ATP adenylyltransferase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0224,ATP adenylyltransferase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0225,ATP phosphoribosyltransferase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0226,ATP synthase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0227,"ATPase, cytosolic",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0228,"beta-1,4 mannosyltransferase",True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0229,biotin synthase,True,False,,requires_manual_balance_review,,,{},2.0
r_0230,biotin-[acetyl-CoA-carboxylase] ligase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0231,C-14 sterol reductase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0233,C-22 sterol desaturase (NADP),True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0234,C-3 sterol dehydrogenase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0235,C-3 sterol dehydrogenase (4-methylzymosterol),True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0236,C-3 sterol keto reductase (4-methylzymosterol),True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0237,C-3 sterol keto reductase (zymosterol),True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0238,C-4 methyl sterol oxidase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0239,C-4 methyl sterol oxidase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0240,C-4 methyl sterol oxidase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0241,"C-4 sterol methyl oxidase (4,4-dimethylzymosterol)",False,False,macromolecule_or_redox_carrier_formula,exclude_from_structure_sensitive_training_or_apply_curated_carrier_rules,s_4209|s_4210,,{},-6.0
r_0242,C-5 sterol desaturase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0243,C-8 sterol isomerase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0244,C-s24 sterol reductase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0249,CAAX farnesyltransferase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0250,carbamoyl-phosphate synthase (glutamine-hydrolysing),True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0252,carnitine O-acetyltransferase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0253,carnitine O-acetyltransferase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0254,carnitine O-acetyltransferase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0255,catalase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0256,catalase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0259,ceramide-1 hydroxylase (24C),True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0260,ceramide-1 hydroxylase (24C),True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0261,ceramide-1 hydroxylase (26C),True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0262,ceramide-1 hydroxylase (26C),True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0263,ceramide-1 synthase (24C),True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0264,ceramide-1 synthase (26C),True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0265,ceramide-2 synthase (24C),True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0266,ceramide-2 synthase (26C),True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0267,ceramide-3 synthase (24C),True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0268,ceramide-3 synthase (26C),True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0269,ceramide-4 synthase (24C),True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0270,ceramide-4 synthase (26C),True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0271,chitin deacetylase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0272,chitin synthase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
r_0273,choline kinase,True,True,,training_ready_mass_charge_balanced,,,{},0.0
