route,step1_reaction,step1_entry,step1_origin,step1_family,step2_reaction,step2_entry,step2_origin,step2_family,mean_engineering_priority_score,route_risk_note,p450_entry,p450_system_type,redox_partner_requirement,host_context_class,substrate_fit_score,p450_engineering_feasibility_score,recommended_p450_action,combined_design_feasibility_score
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,Q6NT55,external_uniprot_curated_panel,preferred_omega_hydroxylase,CAND_10H2DA_COA_THIOESTERASE_P,P41903,endogenous_s_cerevisiae,preferred_acyl_coa_thioesterase,13.395634,external hydroxylase requires heterologous expression and redox partner handling,Q6NT55,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,mammalian_external,4,16.647769,secondary_priority_high_activity_but_expression_risk,21.719519
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,P10611,external_uniprot,preferred_omega_hydroxylase,CAND_10H2DA_COA_THIOESTERASE_P,P41903,endogenous_s_cerevisiae,preferred_acyl_coa_thioesterase,13.358631,external hydroxylase requires heterologous expression and redox partner handling,P10611,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,mammalian_external,4,16.573763,secondary_priority_high_activity_but_expression_risk,21.645513
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P41903,endogenous_s_cerevisiae,preferred_acyl_coa_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,P14581,external_uniprot,preferred_omega_hydroxylase,13.087016,external hydroxylase requires heterologous expression and redox partner handling,P14581,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,mammalian_external,5,16.900224,secondary_priority_high_activity_but_expression_risk,21.537128
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P41903,endogenous_s_cerevisiae,preferred_acyl_coa_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,P10611,external_uniprot,preferred_omega_hydroxylase,13.078386,external hydroxylase requires heterologous expression and redox partner handling,P10611,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,mammalian_external,5,16.882965,secondary_priority_high_activity_but_expression_risk,21.519869
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P41903,endogenous_s_cerevisiae,preferred_acyl_coa_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,Q6NT55,external_uniprot_curated_panel,preferred_omega_hydroxylase,13.076616,external hydroxylase requires heterologous expression and redox partner handling,Q6NT55,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,mammalian_external,5,16.879424,secondary_priority_high_activity_but_expression_risk,21.516328
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P41903,endogenous_s_cerevisiae,preferred_acyl_coa_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,P14580,external_uniprot,preferred_omega_hydroxylase,13.066263,external hydroxylase requires heterologous expression and redox partner handling,P14580,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,mammalian_external,5,16.858719,secondary_priority_high_activity_but_expression_risk,21.495623
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,P54781,endogenous_s_cerevisiae,plausible_p450_or_cyp,CAND_10H2DA_COA_THIOESTERASE_P,P41903,endogenous_s_cerevisiae,preferred_acyl_coa_thioesterase,11.916684,endogenous hydroxylase remains activity-limited,P54781,endogenous_or_yeast_cyp_keyword_hit,native_yeast_redox_context_possible_but_terminal_activity_unvalidated,native_yeast,2,18.689869,low_expression_risk_but_activity_validation_required,21.261618
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,P10614,endogenous_s_cerevisiae,plausible_p450_or_cyp,CAND_10H2DA_COA_THIOESTERASE_P,P41903,endogenous_s_cerevisiae,preferred_acyl_coa_thioesterase,11.896839,endogenous hydroxylase remains activity-limited,P10614,endogenous_or_yeast_cyp_keyword_hit,native_yeast_redox_context_possible_but_terminal_activity_unvalidated,native_yeast,2,18.650179,low_expression_risk_but_activity_validation_required,21.221929
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P41903,endogenous_s_cerevisiae,preferred_acyl_coa_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,P10614,endogenous_s_cerevisiae,plausible_p450_or_cyp,11.883682,endogenous hydroxylase remains activity-limited,P10614,endogenous_or_yeast_cyp_keyword_hit,native_yeast_redox_context_possible_but_terminal_activity_unvalidated,native_yeast,2,17.993557,low_expression_risk_but_activity_validation_required,20.880461
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P41903,endogenous_s_cerevisiae,preferred_acyl_coa_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,P54781,endogenous_s_cerevisiae,plausible_p450_or_cyp,11.8387,endogenous hydroxylase remains activity-limited,P54781,endogenous_or_yeast_cyp_keyword_hit,native_yeast_redox_context_possible_but_terminal_activity_unvalidated,native_yeast,2,17.903591,low_expression_risk_but_activity_validation_required,20.790495
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,P14581,external_uniprot,preferred_omega_hydroxylase,CAND_10H2DA_COA_THIOESTERASE_P,P53208,endogenous_s_cerevisiae,plausible_thioesterase,12.407622,external hydroxylase requires heterologous expression and redox partner handling,P14581,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,mammalian_external,4,16.749602,secondary_priority_high_activity_but_expression_risk,20.782423
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,P14581,external_uniprot,preferred_omega_hydroxylase,CAND_10H2DA_COA_THIOESTERASE_P,P38256,endogenous_s_cerevisiae,plausible_thioesterase,12.397384,external hydroxylase requires heterologous expression and redox partner handling,P14581,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,mammalian_external,4,16.749602,secondary_priority_high_activity_but_expression_risk,20.772185
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,Q6NT55,external_uniprot_curated_panel,preferred_omega_hydroxylase,CAND_10H2DA_COA_THIOESTERASE_P,P53208,endogenous_s_cerevisiae,plausible_thioesterase,12.356705,external hydroxylase requires heterologous expression and redox partner handling,Q6NT55,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,mammalian_external,4,16.647769,secondary_priority_high_activity_but_expression_risk,20.68059
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,Q6NT55,external_uniprot_curated_panel,preferred_omega_hydroxylase,CAND_10H2DA_COA_THIOESTERASE_P,P38256,endogenous_s_cerevisiae,plausible_thioesterase,12.346467,external hydroxylase requires heterologous expression and redox partner handling,Q6NT55,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,mammalian_external,4,16.647769,secondary_priority_high_activity_but_expression_risk,20.670352
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,P14581,external_uniprot,preferred_omega_hydroxylase,CAND_10H2DA_COA_THIOESTERASE_P,Q12354,endogenous_s_cerevisiae,plausible_thioesterase,12.280751,external hydroxylase requires heterologous expression and redox partner handling,P14581,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,mammalian_external,4,16.749602,secondary_priority_high_activity_but_expression_risk,20.655552
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,P10611,external_uniprot,preferred_omega_hydroxylase,CAND_10H2DA_COA_THIOESTERASE_P,P53208,endogenous_s_cerevisiae,plausible_thioesterase,12.319702,external hydroxylase requires heterologous expression and redox partner handling,P10611,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,mammalian_external,4,16.573763,secondary_priority_high_activity_but_expression_risk,20.606583
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,P10611,external_uniprot,preferred_omega_hydroxylase,CAND_10H2DA_COA_THIOESTERASE_P,P38256,endogenous_s_cerevisiae,plausible_thioesterase,12.309464,external hydroxylase requires heterologous expression and redox partner handling,P10611,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,mammalian_external,4,16.573763,secondary_priority_high_activity_but_expression_risk,20.596346
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P38256,endogenous_s_cerevisiae,plausible_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,P14581,external_uniprot,preferred_omega_hydroxylase,12.11507,external hydroxylase requires heterologous expression and redox partner handling,P14581,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,mammalian_external,5,16.900224,secondary_priority_high_activity_but_expression_risk,20.565182
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,Q6NT55,external_uniprot_curated_panel,preferred_omega_hydroxylase,CAND_10H2DA_COA_THIOESTERASE_P,Q12354,endogenous_s_cerevisiae,plausible_thioesterase,12.229835,external hydroxylase requires heterologous expression and redox partner handling,Q6NT55,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,mammalian_external,4,16.647769,secondary_priority_high_activity_but_expression_risk,20.553719
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P38256,endogenous_s_cerevisiae,plausible_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,P10611,external_uniprot,preferred_omega_hydroxylase,12.10644,external hydroxylase requires heterologous expression and redox partner handling,P10611,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,mammalian_external,5,16.882965,secondary_priority_high_activity_but_expression_risk,20.547923
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P38256,endogenous_s_cerevisiae,plausible_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,Q6NT55,external_uniprot_curated_panel,preferred_omega_hydroxylase,12.10467,external hydroxylase requires heterologous expression and redox partner handling,Q6NT55,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,mammalian_external,5,16.879424,secondary_priority_high_activity_but_expression_risk,20.544382
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P53208,endogenous_s_cerevisiae,plausible_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,P14581,external_uniprot,preferred_omega_hydroxylase,12.090053,external hydroxylase requires heterologous expression and redox partner handling,P14581,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,mammalian_external,5,16.900224,secondary_priority_high_activity_but_expression_risk,20.540165
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P38256,endogenous_s_cerevisiae,plausible_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,P14580,external_uniprot,preferred_omega_hydroxylase,12.094317,external hydroxylase requires heterologous expression and redox partner handling,P14580,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,mammalian_external,5,16.858719,secondary_priority_high_activity_but_expression_risk,20.523677
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P53208,endogenous_s_cerevisiae,plausible_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,P10611,external_uniprot,preferred_omega_hydroxylase,12.081424,external hydroxylase requires heterologous expression and redox partner handling,P10611,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,mammalian_external,5,16.882965,secondary_priority_high_activity_but_expression_risk,20.522906
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P53208,endogenous_s_cerevisiae,plausible_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,Q6NT55,external_uniprot_curated_panel,preferred_omega_hydroxylase,12.079653,external hydroxylase requires heterologous expression and redox partner handling,Q6NT55,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,mammalian_external,5,16.879424,secondary_priority_high_activity_but_expression_risk,20.519365
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P53208,endogenous_s_cerevisiae,plausible_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,P14580,external_uniprot,preferred_omega_hydroxylase,12.069301,external hydroxylase requires heterologous expression and redox partner handling,P14580,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,mammalian_external,5,16.858719,secondary_priority_high_activity_but_expression_risk,20.49866
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,P10611,external_uniprot,preferred_omega_hydroxylase,CAND_10H2DA_COA_THIOESTERASE_P,Q12354,endogenous_s_cerevisiae,plausible_thioesterase,12.192831,external hydroxylase requires heterologous expression and redox partner handling,P10611,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,mammalian_external,4,16.573763,secondary_priority_high_activity_but_expression_risk,20.479713
free_acid_route,CAND_T2DEC_THIOESTERASE_P,Q12354,endogenous_s_cerevisiae,plausible_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,P14581,external_uniprot,preferred_omega_hydroxylase,11.99274,external hydroxylase requires heterologous expression and redox partner handling,P14581,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,mammalian_external,5,16.900224,secondary_priority_high_activity_but_expression_risk,20.442852
free_acid_route,CAND_T2DEC_THIOESTERASE_P,Q12354,endogenous_s_cerevisiae,plausible_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,P10611,external_uniprot,preferred_omega_hydroxylase,11.984111,external hydroxylase requires heterologous expression and redox partner handling,P10611,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,mammalian_external,5,16.882965,secondary_priority_high_activity_but_expression_risk,20.425593
free_acid_route,CAND_T2DEC_THIOESTERASE_P,Q12354,endogenous_s_cerevisiae,plausible_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,Q6NT55,external_uniprot_curated_panel,preferred_omega_hydroxylase,11.98234,external hydroxylase requires heterologous expression and redox partner handling,Q6NT55,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,mammalian_external,5,16.879424,secondary_priority_high_activity_but_expression_risk,20.422052
free_acid_route,CAND_T2DEC_THIOESTERASE_P,Q12354,endogenous_s_cerevisiae,plausible_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,P14580,external_uniprot,preferred_omega_hydroxylase,11.971987,external hydroxylase requires heterologous expression and redox partner handling,P14580,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,mammalian_external,5,16.858719,secondary_priority_high_activity_but_expression_risk,20.401347
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,P21595,endogenous_s_cerevisiae,plausible_p450_or_cyp,CAND_10H2DA_COA_THIOESTERASE_P,P41903,endogenous_s_cerevisiae,preferred_acyl_coa_thioesterase,11.719382,endogenous hydroxylase remains activity-limited,P21595,endogenous_or_yeast_cyp_keyword_hit,native_yeast_redox_context_possible_but_terminal_activity_unvalidated,native_yeast,1,17.295265,low_expression_risk_but_activity_validation_required,20.367015
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,P54781,endogenous_s_cerevisiae,plausible_p450_or_cyp,CAND_10H2DA_COA_THIOESTERASE_P,P53208,endogenous_s_cerevisiae,plausible_thioesterase,10.877755,endogenous hydroxylase remains activity-limited,P54781,endogenous_or_yeast_cyp_keyword_hit,native_yeast_redox_context_possible_but_terminal_activity_unvalidated,native_yeast,2,18.689869,low_expression_risk_but_activity_validation_required,20.222689
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,P54781,endogenous_s_cerevisiae,plausible_p450_or_cyp,CAND_10H2DA_COA_THIOESTERASE_P,P38256,endogenous_s_cerevisiae,plausible_thioesterase,10.867517,endogenous hydroxylase remains activity-limited,P54781,endogenous_or_yeast_cyp_keyword_hit,native_yeast_redox_context_possible_but_terminal_activity_unvalidated,native_yeast,2,18.689869,low_expression_risk_but_activity_validation_required,20.212451
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,P10614,endogenous_s_cerevisiae,plausible_p450_or_cyp,CAND_10H2DA_COA_THIOESTERASE_P,P53208,endogenous_s_cerevisiae,plausible_thioesterase,10.85791,endogenous hydroxylase remains activity-limited,P10614,endogenous_or_yeast_cyp_keyword_hit,native_yeast_redox_context_possible_but_terminal_activity_unvalidated,native_yeast,2,18.650179,low_expression_risk_but_activity_validation_required,20.182999
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,P10614,endogenous_s_cerevisiae,plausible_p450_or_cyp,CAND_10H2DA_COA_THIOESTERASE_P,P38256,endogenous_s_cerevisiae,plausible_thioesterase,10.847672,endogenous hydroxylase remains activity-limited,P10614,endogenous_or_yeast_cyp_keyword_hit,native_yeast_redox_context_possible_but_terminal_activity_unvalidated,native_yeast,2,18.650179,low_expression_risk_but_activity_validation_required,20.172762
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,P54781,endogenous_s_cerevisiae,plausible_p450_or_cyp,CAND_10H2DA_COA_THIOESTERASE_P,Q12354,endogenous_s_cerevisiae,plausible_thioesterase,10.750884,endogenous hydroxylase remains activity-limited,P54781,endogenous_or_yeast_cyp_keyword_hit,native_yeast_redox_context_possible_but_terminal_activity_unvalidated,native_yeast,2,18.689869,low_expression_risk_but_activity_validation_required,20.095819
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,P10614,endogenous_s_cerevisiae,plausible_p450_or_cyp,CAND_10H2DA_COA_THIOESTERASE_P,Q12354,endogenous_s_cerevisiae,plausible_thioesterase,10.731039,endogenous hydroxylase remains activity-limited,P10614,endogenous_or_yeast_cyp_keyword_hit,native_yeast_redox_context_possible_but_terminal_activity_unvalidated,native_yeast,2,18.650179,low_expression_risk_but_activity_validation_required,20.056129
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P38256,endogenous_s_cerevisiae,plausible_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,P10614,endogenous_s_cerevisiae,plausible_p450_or_cyp,10.911736,endogenous hydroxylase remains activity-limited,P10614,endogenous_or_yeast_cyp_keyword_hit,native_yeast_redox_context_possible_but_terminal_activity_unvalidated,native_yeast,2,17.993557,low_expression_risk_but_activity_validation_required,19.908515
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P53208,endogenous_s_cerevisiae,plausible_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,P10614,endogenous_s_cerevisiae,plausible_p450_or_cyp,10.88672,endogenous hydroxylase remains activity-limited,P10614,endogenous_or_yeast_cyp_keyword_hit,native_yeast_redox_context_possible_but_terminal_activity_unvalidated,native_yeast,2,17.993557,low_expression_risk_but_activity_validation_required,19.883498
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P38256,endogenous_s_cerevisiae,plausible_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,P54781,endogenous_s_cerevisiae,plausible_p450_or_cyp,10.866754,endogenous hydroxylase remains activity-limited,P54781,endogenous_or_yeast_cyp_keyword_hit,native_yeast_redox_context_possible_but_terminal_activity_unvalidated,native_yeast,2,17.903591,low_expression_risk_but_activity_validation_required,19.818549
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P53208,endogenous_s_cerevisiae,plausible_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,P54781,endogenous_s_cerevisiae,plausible_p450_or_cyp,10.841737,endogenous hydroxylase remains activity-limited,P54781,endogenous_or_yeast_cyp_keyword_hit,native_yeast_redox_context_possible_but_terminal_activity_unvalidated,native_yeast,2,17.903591,low_expression_risk_but_activity_validation_required,19.793532
free_acid_route,CAND_T2DEC_THIOESTERASE_P,Q12354,endogenous_s_cerevisiae,plausible_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,P10614,endogenous_s_cerevisiae,plausible_p450_or_cyp,10.789407,endogenous hydroxylase remains activity-limited,P10614,endogenous_or_yeast_cyp_keyword_hit,native_yeast_redox_context_possible_but_terminal_activity_unvalidated,native_yeast,2,17.993557,low_expression_risk_but_activity_validation_required,19.786185
free_acid_route,CAND_T2DEC_THIOESTERASE_P,Q12354,endogenous_s_cerevisiae,plausible_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,P54781,endogenous_s_cerevisiae,plausible_p450_or_cyp,10.744424,endogenous hydroxylase remains activity-limited,P54781,endogenous_or_yeast_cyp_keyword_hit,native_yeast_redox_context_possible_but_terminal_activity_unvalidated,native_yeast,2,17.903591,low_expression_risk_but_activity_validation_required,19.696219
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,P14581,external_uniprot,preferred_omega_hydroxylase,CAND_10H2DA_COA_THIOESTERASE_P,P07149,endogenous_s_cerevisiae,generic_thioesterase,11.30589,external hydroxylase requires heterologous expression and redox partner handling,P14581,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,mammalian_external,4,16.749602,secondary_priority_high_activity_but_expression_risk,19.680691
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,Q6NT55,external_uniprot_curated_panel,preferred_omega_hydroxylase,CAND_10H2DA_COA_THIOESTERASE_P,P07149,endogenous_s_cerevisiae,generic_thioesterase,11.254974,external hydroxylase requires heterologous expression and redox partner handling,Q6NT55,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,mammalian_external,4,16.647769,secondary_priority_high_activity_but_expression_risk,19.578858
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,P10611,external_uniprot,preferred_omega_hydroxylase,CAND_10H2DA_COA_THIOESTERASE_P,P07149,endogenous_s_cerevisiae,generic_thioesterase,11.21797,external hydroxylase requires heterologous expression and redox partner handling,P10611,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,mammalian_external,4,16.573763,secondary_priority_high_activity_but_expression_risk,19.504852
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P07149,endogenous_s_cerevisiae,generic_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,P14581,external_uniprot,preferred_omega_hydroxylase,11.006187,external hydroxylase requires heterologous expression and redox partner handling,P14581,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,mammalian_external,5,16.900224,secondary_priority_high_activity_but_expression_risk,19.456299
