candidate_reaction_id,reaction_name,entry,orf,gene_names,protein_names,ec_number,substrate_name,substrate_smiles_source,pu_reference_likeness_score,external_evidence_tier,local_validation_verdict,local_model_support,local_validation_reason,best_candidate_fba_flux,unikp_log10_kcat,unikp_pred_kcat,unikp_log10_Km,unikp_pred_Km,unikp_log10_kcat_Km,unikp_pred_kcat_Km,organism,candidate_origin,enzyme_family_sanity_class,enzyme_family_sanity_reason,enzyme_family_sanity_score,engineering_priority_score,external_sequence_source,external_panel_note,p450_system_type,redox_partner_requirement,redox_partner_score,localization_expectation,expression_risk,expression_risk_score,system_rationale,substrate_fit_score,substrate_fit_rationale,host_context_class,host_context_score,host_context_rationale,p450_engineering_feasibility_score,recommended_p450_action
CAND_T2DEC_OMEGA_HYDROXYLASE_P,candidate trans-2-decenoate omega-hydroxylase,P10611,P10611,CYP4A4,Cytochrome P450 4A4; CYPIVA4; Cytochrome P450-P-2; Prostaglandin omega-hydroxylase,1.14.14.1,trans-2-decenoic acid,PubChem CID 5282724 isomeric SMILES,0.8863669418194068,D_enzyme_family_only,enzyme_class_support_only,external enzyme candidate; not native S. cerevisiae support,"Yeast UniProt contains oxygenase/hydroxylase/P450-class entries, but no exact omega-hydroxylation record for this substrate was found.",0.30272419782429993,-0.7046331436855654,0.19740895807763503,-1.3337427676352254,0.0463721500381699,0.8829648901711005,7.637740350158718,Oryctolagus cuniculus,external_uniprot,preferred_omega_hydroxylase,fatty-acid omega-hydroxylase/P450 family,5,13.272056029814808,UniProtKB P10611 FASTA,,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,2,ER_membrane_associated_P450_likely,high,2,"Animal microsomal P450s may express in yeast but redox coupling, membrane insertion, and activity transfer are higher-risk.",5,fatty-acid omega-hydroxylase family aligns with terminal C10 hydroxylation need,mammalian_external,2,mammalian microsomal P450 expression and CPR coupling in yeast are higher-risk,16.882965,secondary_priority_high_activity_but_expression_risk
CAND_T2DEC_OMEGA_HYDROXYLASE_P,candidate trans-2-decenoate omega-hydroxylase,Q6NT55,Q6NT55,CYP4F22,Ultra-long-chain fatty acid omega-hydroxylase; Cytochrome P450 4F22,1.14.14.177,trans-2-decenoic acid,PubChem CID 5282724 isomeric SMILES,0.8863669418194068,D_enzyme_family_only,enzyme_class_support_only,external enzyme candidate; not native S. cerevisiae support,"Yeast UniProt contains oxygenase/hydroxylase/P450-class entries, but no exact omega-hydroxylation record for this substrate was found.",0.30272419782429993,-0.7789937561876692,0.16634365652747107,-1.343984268102362,0.045291398597763974,0.8794240575336646,7.575722491759935,Homo sapiens,external_uniprot_curated_panel,preferred_omega_hydroxylase,fatty-acid omega-hydroxylase/P450 family,5,13.268515197177372,UniProtKB Q6NT55 FASTA,fatty-acid omega-hydroxylase evidence record,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,2,ER_membrane_associated_P450_likely,high,2,"Animal microsomal P450s may express in yeast but redox coupling, membrane insertion, and activity transfer are higher-risk.",5,fatty-acid omega-hydroxylase family aligns with terminal C10 hydroxylation need,mammalian_external,2,mammalian microsomal P450 expression and CPR coupling in yeast are higher-risk,16.879424,secondary_priority_high_activity_but_expression_risk
CAND_T2DEC_OMEGA_HYDROXYLASE_P,candidate trans-2-decenoate omega-hydroxylase,P14580,P14580,CYP4A6,Cytochrome P450 4A6; CYPIVA6; Cytochrome P450-KA-1; Lauric acid omega-hydroxylase; Long-chain fatty acid omega-monooxygenase,1.14.14.80,trans-2-decenoic acid,PubChem CID 5282724 isomeric SMILES,0.8863669418194068,D_enzyme_family_only,enzyme_class_support_only,external enzyme candidate; not native S. cerevisiae support,"Yeast UniProt contains oxygenase/hydroxylase/P450-class entries, but no exact omega-hydroxylation record for this substrate was found.",0.30272419782429993,-0.4395805941823599,0.3634288549915246,-1.435393068682501,0.03669500331905578,0.8587186355518073,7.2230169757245095,Oryctolagus cuniculus,external_uniprot,preferred_omega_hydroxylase,fatty-acid omega-hydroxylase/P450 family,5,13.247809775195513,UniProtKB P14580 FASTA,,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,2,ER_membrane_associated_P450_likely,high,2,"Animal microsomal P450s may express in yeast but redox coupling, membrane insertion, and activity transfer are higher-risk.",5,fatty-acid omega-hydroxylase family aligns with terminal C10 hydroxylation need,mammalian_external,2,mammalian microsomal P450 expression and CPR coupling in yeast are higher-risk,16.858719,secondary_priority_high_activity_but_expression_risk
CAND_T2DEC_OMEGA_HYDROXYLASE_P,candidate trans-2-decenoate omega-hydroxylase,Q5TCH4,Q5TCH4,CYP4A22,Cytochrome P450 4A22; CYPIVA22; Fatty acid omega-hydroxylase; Lauric acid omega-hydroxylase; Long-chain fatty acid omega-monooxygenase,1.14.14.80,trans-2-decenoic acid,PubChem CID 5282724 isomeric SMILES,0.8863669418194068,D_enzyme_family_only,enzyme_class_support_only,external enzyme candidate; not native S. cerevisiae support,"Yeast UniProt contains oxygenase/hydroxylase/P450-class entries, but no exact omega-hydroxylation record for this substrate was found.",0.30272419782429993,-0.40491747072551193,0.3936248691494404,-1.4512512710721837,0.03537925870092267,0.8452625109658589,7.00265146056318,Homo sapiens,external_uniprot,preferred_omega_hydroxylase,fatty-acid omega-hydroxylase/P450 family,5,13.234353650609567,UniProtKB Q5TCH4 FASTA,,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,2,ER_membrane_associated_P450_likely,high,2,"Animal microsomal P450s may express in yeast but redox coupling, membrane insertion, and activity transfer are higher-risk.",5,fatty-acid omega-hydroxylase family aligns with terminal C10 hydroxylation need,mammalian_external,2,mammalian microsomal P450 expression and CPR coupling in yeast are higher-risk,16.845263,secondary_priority_high_activity_but_expression_risk
CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,candidate trans-dec-2-enoyl-CoA omega-hydroxylase,P14581,P14581,CYP4A7,Cytochrome P450 4A7; CYPIVA7; Cytochrome P450-KA-2; Lauric acid omega-hydroxylase; Long-chain fatty acid omega-monooxygenase,1.14.14.80,trans-dec-2-enoyl-CoA,PubChem CID 24883423 isomeric SMILES,0.8349201271803747,D_enzyme_family_only,enzyme_class_support_only,external enzyme candidate; not native S. cerevisiae support,"Yeast UniProt contains oxygenase/hydroxylase/P450-class entries, but no exact omega-hydroxylation record for this substrate was found.",0.3027241978242993,-0.49150432184560616,0.32247472283514517,-1.6532119920381174,0.022222248918779584,1.7496023888124537,56.18267184221008,Oryctolagus cuniculus,external_uniprot,preferred_omega_hydroxylase,fatty-acid omega-hydroxylase/P450 family,5,14.087246713817127,UniProtKB P14581 FASTA,,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,2,ER_membrane_associated_P450_likely,high,2,"Animal microsomal P450s may express in yeast but redox coupling, membrane insertion, and activity transfer are higher-risk.",4,fatty-acid omega-hydroxylase family aligns with terminal C10 hydroxylation need; CoA-bound substrate adds uncertainty because many omega-hydroxylase records are free-fatty-acid oriented,mammalian_external,2,mammalian microsomal P450 expression and CPR coupling in yeast are higher-risk,16.749602,secondary_priority_high_activity_but_expression_risk
CAND_T2DEC_OMEGA_HYDROXYLASE_P,candidate trans-2-decenoate omega-hydroxylase,P21595,YDR402C,DIT2 CYP56 YDR402C D9509.20,Cytochrome P450-DIT2 (EC 1.14.14.-) (Cytochrome P450 56),1.14.14.-,trans-2-decenoic acid,PubChem CID 5282724 isomeric SMILES,0.8863669418194068,B_exact_compound_context_no_enzyme_specificity,enzyme_class_support_only,no native exact enzyme found,"Yeast UniProt contains oxygenase/hydroxylase/P450-class entries, but no exact omega-hydroxylation record for this substrate was found.",0.30272419782429993,-0.08473595740564432,0.8227427094766058,-1.0910623553165328,0.08108446297030783,0.7403970295628557,5.500434907309465,Saccharomyces cerevisiae,endogenous_s_cerevisiae,plausible_p450_or_cyp,P450/CYP family but exact C10 substrate unvalidated,4,10.629488169206562,,,endogenous_or_yeast_cyp_keyword_hit,native_yeast_redox_context_possible_but_terminal_activity_unvalidated,3,native_localization_if_endogenous,medium,3,Endogenous CYP/P450-related hit lowers expression risk but does not establish fatty-acid omega-hydroxylation.,1,substrate class support is weak,native_yeast,5,"native S. cerevisiae sequence, but activity may not match terminal hydroxylation",16.740397,low_expression_risk_but_activity_validation_required
CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,candidate trans-dec-2-enoyl-CoA omega-hydroxylase,Q6NT55,Q6NT55,CYP4F22,Ultra-long-chain fatty acid omega-hydroxylase; Cytochrome P450 4F22,1.14.14.177,trans-dec-2-enoyl-CoA,PubChem CID 24883423 isomeric SMILES,0.8349201271803747,D_enzyme_family_only,enzyme_class_support_only,external enzyme candidate; not native S. cerevisiae support,"Yeast UniProt contains oxygenase/hydroxylase/P450-class entries, but no exact omega-hydroxylation record for this substrate was found.",0.3027241978242993,-0.5152817603120103,0.3052939793159603,-1.5887028370714589,0.02578084589777647,1.6477693514781808,44.439519190006926,Homo sapiens,external_uniprot_curated_panel,preferred_omega_hydroxylase,fatty-acid omega-hydroxylase/P450 family,5,13.985413676482853,UniProtKB Q6NT55 FASTA,fatty-acid omega-hydroxylase evidence record,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,2,ER_membrane_associated_P450_likely,high,2,"Animal microsomal P450s may express in yeast but redox coupling, membrane insertion, and activity transfer are higher-risk.",4,fatty-acid omega-hydroxylase family aligns with terminal C10 hydroxylation need; CoA-bound substrate adds uncertainty because many omega-hydroxylase records are free-fatty-acid oriented,mammalian_external,2,mammalian microsomal P450 expression and CPR coupling in yeast are higher-risk,16.647769,secondary_priority_high_activity_but_expression_risk
CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,candidate trans-dec-2-enoyl-CoA omega-hydroxylase,P10611,P10611,CYP4A4,Cytochrome P450 4A4; CYPIVA4; Cytochrome P450-P-2; Prostaglandin omega-hydroxylase,1.14.14.1,trans-dec-2-enoyl-CoA,PubChem CID 24883423 isomeric SMILES,0.8349201271803747,D_enzyme_family_only,enzyme_class_support_only,external enzyme candidate; not native S. cerevisiae support,"Yeast UniProt contains oxygenase/hydroxylase/P450-class entries, but no exact omega-hydroxylation record for this substrate was found.",0.3027241978242993,-0.48153189834531046,0.3299651715229325,-1.7046552238719295,0.019739892176365192,1.5737627939832715,37.47682527728683,Oryctolagus cuniculus,external_uniprot,preferred_omega_hydroxylase,fatty-acid omega-hydroxylase/P450 family,5,13.911407118987944,UniProtKB P10611 FASTA,,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,2,ER_membrane_associated_P450_likely,high,2,"Animal microsomal P450s may express in yeast but redox coupling, membrane insertion, and activity transfer are higher-risk.",4,fatty-acid omega-hydroxylase family aligns with terminal C10 hydroxylation need; CoA-bound substrate adds uncertainty because many omega-hydroxylase records are free-fatty-acid oriented,mammalian_external,2,mammalian microsomal P450 expression and CPR coupling in yeast are higher-risk,16.573763,secondary_priority_high_activity_but_expression_risk
CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,candidate trans-dec-2-enoyl-CoA omega-hydroxylase,Q5TCH4,Q5TCH4,CYP4A22,Cytochrome P450 4A22; CYPIVA22; Fatty acid omega-hydroxylase; Lauric acid omega-hydroxylase; Long-chain fatty acid omega-monooxygenase,1.14.14.80,trans-dec-2-enoyl-CoA,PubChem CID 24883423 isomeric SMILES,0.8349201271803747,D_enzyme_family_only,enzyme_class_support_only,external enzyme candidate; not native S. cerevisiae support,"Yeast UniProt contains oxygenase/hydroxylase/P450-class entries, but no exact omega-hydroxylation record for this substrate was found.",0.3027241978242993,-0.3794276675313246,0.4174191145243047,-1.7042084161196827,0.0197602112819703,1.5174071710594441,32.91600889852171,Homo sapiens,external_uniprot,preferred_omega_hydroxylase,fatty-acid omega-hydroxylase/P450 family,5,13.855051496064117,UniProtKB Q5TCH4 FASTA,,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,2,ER_membrane_associated_P450_likely,high,2,"Animal microsomal P450s may express in yeast but redox coupling, membrane insertion, and activity transfer are higher-risk.",4,fatty-acid omega-hydroxylase family aligns with terminal C10 hydroxylation need; CoA-bound substrate adds uncertainty because many omega-hydroxylase records are free-fatty-acid oriented,mammalian_external,2,mammalian microsomal P450 expression and CPR coupling in yeast are higher-risk,16.517407,secondary_priority_high_activity_but_expression_risk
CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,candidate trans-dec-2-enoyl-CoA omega-hydroxylase,P14580,P14580,CYP4A6,Cytochrome P450 4A6; CYPIVA6; Cytochrome P450-KA-1; Lauric acid omega-hydroxylase; Long-chain fatty acid omega-monooxygenase,1.14.14.80,trans-dec-2-enoyl-CoA,PubChem CID 24883423 isomeric SMILES,0.8349201271803747,D_enzyme_family_only,enzyme_class_support_only,external enzyme candidate; not native S. cerevisiae support,"Yeast UniProt contains oxygenase/hydroxylase/P450-class entries, but no exact omega-hydroxylation record for this substrate was found.",0.3027241978242993,-0.3994906423308365,0.39857436023467097,-1.646566853443856,0.022564886145087535,1.4902184953117672,30.918505638181003,Oryctolagus cuniculus,external_uniprot,preferred_omega_hydroxylase,fatty-acid omega-hydroxylase/P450 family,5,13.82786282031644,UniProtKB P14580 FASTA,,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,2,ER_membrane_associated_P450_likely,high,2,"Animal microsomal P450s may express in yeast but redox coupling, membrane insertion, and activity transfer are higher-risk.",4,fatty-acid omega-hydroxylase family aligns with terminal C10 hydroxylation need; CoA-bound substrate adds uncertainty because many omega-hydroxylase records are free-fatty-acid oriented,mammalian_external,2,mammalian microsomal P450 expression and CPR coupling in yeast are higher-risk,16.490218,secondary_priority_high_activity_but_expression_risk
