model_reaction_id,reaction_name,model_equation,negative_sample_role,reason,gpr,orfs,enzyme_ec_numbers
r_0602,IPS phospholipase C,s_0804 + s_1134 --> s_0493 + s_1111,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0603,IPS phospholipase C,s_0804 + s_1137 --> s_0496 + s_1111,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0604,IPS phospholipase C,s_0804 + s_1140 --> s_0499 + s_1111,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0605,IPS phospholipase C,s_0804 + s_1143 --> s_0502 + s_1111,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0606,IPS phospholipase C,s_0804 + s_0861 --> s_0475 + s_1109,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0607,IPS phospholipase C,s_0804 + s_0864 --> s_0478 + s_1109,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0608,IPS phospholipase C,s_0804 + s_0873 --> s_0487 + s_1109,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0609,IPS phospholipase C,s_0804 + s_0876 --> s_0490 + s_1109,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0610,IPS phospholipase C,s_0804 + s_0867 --> s_0481 + s_1109,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0611,IPS phospholipase C,s_0804 + s_0870 --> s_0484 + s_1109,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0612,IPS phospholipase C,s_0804 + s_0879 --> s_0493 + s_1109,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0613,IPS phospholipase C,s_0804 + s_0882 --> s_0496 + s_1109,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0614,IPS phospholipase C,s_0804 + s_0885 --> s_0499 + s_1109,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0615,IPS phospholipase C,s_0804 + s_0888 --> s_0502 + s_1109,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0616,IPS phospholipase C,s_0807 + s_0896 --> s_0129 + s_0477 + 2 s_0799,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0617,IPS phospholipase C,s_0807 + s_0899 --> s_0129 + s_0480 + 2 s_0799,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0618,IPS phospholipase C,s_0807 + s_0908 --> s_0129 + s_0489 + 2 s_0799,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0619,IPS phospholipase C,s_0807 + s_0911 --> s_0129 + s_0492 + 2 s_0799,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0620,IPS phospholipase C,s_0807 + s_0902 --> s_0129 + s_0483 + 2 s_0799,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0621,IPS phospholipase C,s_0807 + s_0905 --> s_0129 + s_0486 + 2 s_0799,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0622,IPS phospholipase C,s_0807 + s_0914 --> s_0129 + s_0495 + 2 s_0799,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0623,IPS phospholipase C,s_0807 + s_0917 --> s_0129 + s_0498 + 2 s_0799,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0624,IPS phospholipase C,s_0807 + s_0920 --> s_0129 + s_0501 + 2 s_0799,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0625,IPS phospholipase C,s_0807 + s_0923 --> s_0129 + s_0504 + 2 s_0799,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0626,IPS phospholipase C,s_0807 + s_1118 --> s_0477 + s_1112,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0627,IPS phospholipase C,s_0807 + s_1121 --> s_0480 + s_1112,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0628,IPS phospholipase C,s_0807 + s_1130 --> s_0489 + s_1112,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0629,IPS phospholipase C,s_0807 + s_1133 --> s_0492 + s_1112,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0630,IPS phospholipase C,s_0807 + s_1124 --> s_0483 + s_1112,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0631,IPS phospholipase C,s_0807 + s_1127 --> s_0486 + s_1112,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0632,IPS phospholipase C,s_0807 + s_1136 --> s_0495 + s_1112,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0633,IPS phospholipase C,s_0807 + s_1139 --> s_0498 + s_1112,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0634,IPS phospholipase C,s_0807 + s_1142 --> s_0501 + s_1112,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0635,IPS phospholipase C,s_0807 + s_1145 --> s_0504 + s_1112,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0636,IPS phospholipase C,s_0807 + s_0863 --> s_0477 + s_1110,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0637,IPS phospholipase C,s_0807 + s_0866 --> s_0480 + s_1110,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0638,IPS phospholipase C,s_0807 + s_0875 --> s_0489 + s_1110,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0639,IPS phospholipase C,s_0807 + s_0878 --> s_0492 + s_1110,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0640,IPS phospholipase C,s_0807 + s_0869 --> s_0483 + s_1110,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0641,IPS phospholipase C,s_0807 + s_0872 --> s_0486 + s_1110,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0642,IPS phospholipase C,s_0807 + s_0881 --> s_0495 + s_1110,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0643,IPS phospholipase C,s_0807 + s_0884 --> s_0498 + s_1110,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0644,IPS phospholipase C,s_0807 + s_0887 --> s_0501 + s_1110,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0645,IPS phospholipase C,s_0807 + s_0890 --> s_0504 + s_1110,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0646,IPS phospholipase C,s_0804 + s_0894 --> s_0127 + s_0475 + 2 s_0795,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0647,IPS phospholipase C,s_0804 + s_0897 --> s_0127 + s_0478 + 2 s_0795,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0648,IPS phospholipase C,s_0804 + s_0906 --> s_0127 + s_0487 + 2 s_0795,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0649,IPS phospholipase C,s_0804 + s_0909 --> s_0127 + s_0490 + 2 s_0795,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0650,IPS phospholipase C,s_0804 + s_0900 --> s_0127 + s_0481 + 2 s_0795,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0651,IPS phospholipase C,s_0804 + s_0903 --> s_0127 + s_0484 + 2 s_0795,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0652,IPS phospholipase C,s_0804 + s_0912 --> s_0127 + s_0493 + 2 s_0795,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0653,IPS phospholipase C,s_0804 + s_0915 --> s_0127 + s_0496 + 2 s_0795,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0654,IPS phospholipase C,s_0804 + s_0918 --> s_0127 + s_0499 + 2 s_0795,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0655,IPS phospholipase C,s_0804 + s_0921 --> s_0127 + s_0502 + 2 s_0795,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YER019W,YER019W,3.1.4.-
r_0703,leukotriene A4 hydrolase,s_0803 + s_1079 <=> s_0013,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YNL045W,YNL045W,3.3.2.10|3.4.11.-
r_0704,leukotriene A4 hydrolase,s_0808 + s_1080 <=> s_0014,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YNL045W,YNL045W,3.3.2.10|3.4.11.-
r_0705,leukotriene A4 hydrolase,s_0803 + s_1079 <=> s_0608,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YNL045W,YNL045W,3.3.2.10|3.4.11.-
r_0706,leukotriene A4 hydrolase,s_0808 + s_1080 <=> s_0609,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YNL045W,YNL045W,3.3.2.10|3.4.11.-
r_0748,MIPC synthase,s_0744 + s_0898 --> s_0740 + s_0797 + s_1120,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,(YBR036C and YBR161W) or (YBR036C and YPL057C),YBR036C|YBR161W|YPL057C,2.4.1.370
r_0749,MIPC synthase,s_0744 + s_0907 --> s_0740 + s_0797 + s_1129,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,(YBR036C and YBR161W) or (YBR036C and YPL057C),YBR036C|YBR161W|YPL057C,2.4.1.370
r_0750,MIPC synthase,s_0744 + s_0910 --> s_0740 + s_0797 + s_1132,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,(YBR036C and YBR161W) or (YBR036C and YPL057C),YBR036C|YBR161W|YPL057C,2.4.1.370
r_0751,MIPC synthase,s_0744 + s_0901 --> s_0740 + s_0797 + s_1123,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,(YBR036C and YBR161W) or (YBR036C and YPL057C),YBR036C|YBR161W|YPL057C,2.4.1.370
r_0752,MIPC synthase,s_0744 + s_0904 --> s_0740 + s_0797 + s_1126,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,(YBR036C and YBR161W) or (YBR036C and YPL057C),YBR036C|YBR161W|YPL057C,2.4.1.370
r_0753,MIPC synthase,s_0744 + s_0913 --> s_0740 + s_0797 + s_1135,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,(YBR036C and YBR161W) or (YBR036C and YPL057C),YBR036C|YBR161W|YPL057C,2.4.1.370
r_0754,MIPC synthase,s_0744 + s_0916 --> s_0740 + s_0797 + s_1138,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,(YBR036C and YBR161W) or (YBR036C and YPL057C),YBR036C|YBR161W|YPL057C,2.4.1.370
r_0755,MIPC synthase,s_0744 + s_0919 --> s_0740 + s_0797 + s_1141,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,(YBR036C and YBR161W) or (YBR036C and YPL057C),YBR036C|YBR161W|YPL057C,2.4.1.370
r_0756,MIPC synthase,s_0744 + s_0922 --> s_0740 + s_0797 + s_1144,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,(YBR036C and YBR161W) or (YBR036C and YPL057C),YBR036C|YBR161W|YPL057C,2.4.1.370
r_0963,quinone oxidoreductase,s_0156 + s_0799 + s_1205 + s_1278 --> s_0154 + s_0807 + s_1200,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YDR204W and YGR255C and YLR201C and YML110C and YOL096C and YOR125C,YDR204W|YGR255C|YLR201C|YML110C|YOL096C|YOR125C,1.14.13.-|1.14.99.60|2.1.1.114|2.1.1.201|2.1.1.64|3.5.-.-
r_1095,yUMP synthetase,s_1408 + s_1550 <=> s_0803 + s_1388,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YFL001W or YGL063W or YNL292W or YPL212C,YFL001W|YGL063W|YNL292W|YPL212C,5.4.99.-|5.4.99.25|5.4.99.44|5.4.99.45
r_1107,acetic ester transport,s_0685 --> s_0686,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,,,
r_1121,ceramide-2' (sphinganine:n-C24:0OH) transport,s_0487 <=> s_0488,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,,,
r_1122,ceramide-2' (sphinganine:n-C26:0OH) transport,s_0490 <=> s_0491,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,,,
r_1123,ceramide-3 (Phytosphingosine:n-C24:0OH) transport,s_0493 <=> s_0494,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,,,
r_1124,ceramide-3 (Phytosphingosine:n-C26:0OH) transport,s_0496 <=> s_0497,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,,,
r_1130,CTP transport,s_0528 + s_0539 + s_0794 --> s_0526 + s_0541 + s_0799,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YBR192W,YBR192W,
r_1228,"N,N'-diformyldityrosine transport",s_1185 --> s_1186,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YBR180W,YBR180W,
r_1230,NAD transport,s_0585 + s_1198 --> s_0584 + s_1200,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YIL006W,YIL006W,
r_1231,NAD transport,s_0424 + s_1198 --> s_0423 + s_1200,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YIL006W,YIL006W,
r_1232,NAD transport,s_0616 + s_1198 --> s_0615 + s_1200,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YIL006W,YIL006W,
r_1253,pyridoxine symport,s_0796 + s_1397 <=> s_0794 + s_1396,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YGL186C,YGL186C,
r_1275,UTP transport,s_0716 + s_0794 + s_1547 + s_1559 --> s_0714 + s_0799 + s_1545 + s_1560,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YBR192W,YBR192W,
r_1543,(1->3)-beta-D-glucan transport,s_0001 <=> s_0002,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,,,
r_1628,"7,8-diaminononanoate transport",s_0342 <=> s_0341,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,,,
r_1678,ceramide transport,s_0500 <=> s_0499,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,,,
r_1681,ceramide transport,s_0503 <=> s_0502,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,,,
r_1725,dADP deamination,s_0582 + s_0794 + s_0803 --> s_0419 + s_0618,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,,,
r_1851,IPC transport,s_0895 <=> s_0894,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,,,
r_1852,IPC transport,s_0901 <=> s_0900,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,,,
r_1853,IPC transport,s_0907 <=> s_0906,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,,,
r_1854,IPC transport,s_0913 <=> s_0912,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,,,
r_1855,IPC transport,s_0919 <=> s_0918,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,,,
